game_id,season,week,team,conference,opponent,off_epa,off_epa_pass,off_epa_rush,def_epa,def_epa_pass,def_epa_rush
401520213,2023,2,Tennessee,SEC,Austin Peay,0.29,0.11,0.48,0.06,0.0,0.16
401520183,2023,2,Texas,Big 12,Alabama,0.22,0.47,-0.05,0.21,0.42,-0.02
401520201,2023,2,Texas A&M,SEC,Miami,0.2,0.26,0.09,0.48,0.97,-0.19
401531395,2023,2,Texas State,Sun Belt,UTSA,-0.01,0.0,-0.02,-0.02,0.03,-0.06
401524002,2023,2,Texas Tech,Big 12,Oregon,0.09,0.07,0.41,0.27,0.37,0.13
401532398,2023,2,Toledo,Mid-American,Texas Southern,0.63,1.15,0.24,0.0,-0.1,0.1
401525829,2023,2,Troy,Sun Belt,Kansas State,0.04,0.17,-0.14,0.22,0.51,0.08
401520214,2023,2,Tulane,American Athletic,Ole Miss,-0.05,0.09,-0.16,0.25,0.49,0.04
401524004,2023,2,Tulsa,American Athletic,Washington,0.02,0.14,0.02,0.57,0.85,0.51
401531378,2023,2,UAB,American Athletic,Georgia Southern,0.4,0.59,0.09,0.3,0.51,0.08
401525827,2023,2,UCF,Big 12,Boise State,0.16,0.83,0.12,0.07,0.2,0.09
401524001,2023,2,UCLA,Pac-12,San Diego State,0.43,0.6,0.3,-0.06,0.15,-0.03
401520192,2023,2,UConn,FBS Independents,Georgia State,0.1,0.49,-0.3,0.2,0.17,0.21
401531843,2023,2,UL Monroe,Sun Belt,Lamar,0.24,-0.21,0.51,0.2,0.55,-0.07
401520202,2023,2,UNLV,Mountain West,Michigan,-0.11,0.07,-0.32,0.35,0.96,-0.04
401524003,2023,2,USC,Pac-12,Stanford,0.52,0.65,0.34,-0.12,-0.1,0.03
