game_id,season,week,team,opponent,off_epa,off_epa_pass,off_epa_rush,def_epa,def_epa_pass,def_epa_rush
401864504,2026,2,San José State,Cal Poly,0.22,0.42,0.06,0.03,0.12,0.14
401858223,2026,2,SMU,UC Davis,0.58,1.13,-0.25,-0.32,-0.25,-0.41
401864575,2026,2,South Alabama,Tulane,0.26,0.46,0.13,0.36,0.49,0.29
401856680,2026,2,South Carolina,Towson,0.17,-0.34,0.66,-0.1,0.26,-0.33
401856671,2026,2,Southern Miss,Auburn,-0.23,-0.1,-0.16,0.29,0.25,0.49
401862702,2026,2,South Florida,Army,0.35,0.41,0.32,0.13,0.8,-0.01
401858216,2026,2,Syracuse,California,-0.14,-0.06,-0.05,-0.11,-0.07,-0.17
401856789,2026,2,TCU,Grambling,0.62,0.64,0.51,-0.24,-0.02,-0.39
401858442,2026,2,Temple,Penn State,0.09,-0.4,0.39,0.21,0.49,-0.05
401856681,2026,2,Tennessee,Georgia Tech,0.24,0.34,0.37,-0.07,-0.27,0.26
401856682,2026,2,Texas,Ohio State,0.06,0.12,0.0,0.12,0.41,-0.16
401856683,2026,2,Texas A&M,Arizona State,0.0,0.35,-0.17,-0.33,-0.28,-0.37
401860884,2026,2,Texas State,UTSA,0.14,0.29,0.19,0.23,0.26,0.19
401856783,2026,2,Texas Tech,Oregon State,0.2,0.35,0.11,0.17,0.25,-0.1
401866419,2026,2,Toledo,Central Connecticut,0.32,0.36,0.29,-0.32,-0.15,-0.11
401868326,2026,2,Troy,Alabama State,0.21,0.19,0.25,-0.23,-0.34,-0.14
401864575,2026,2,Tulane,South Alabama,0.36,0.49,0.29,0.26,0.46,0.13
401862707,2026,2,Tulsa,Sam Houston,0.01,-0.41,0.45,0.07,0.24,-0.1
401862708,2026,2,UAB,UL Monroe,0.11,-0.27,0.27,-0.18,-0.46,0.06
401856790,2026,2,UCF,Pittsburgh,-0.25,-0.09,-0.4,-0.04,0.25,-0.23
401858443,2026,2,UCLA,San Diego State,0.1,-0.16,0.26,-0.23,-0.6,-0.03
401858444,2026,2,UConn,Maryland,-0.09,0.04,-0.21,0.24,0.44,0.05
401862708,2026,2,UL Monroe,UAB,-0.18,-0.46,0.06,0.11,-0.27,0.27
401862705,2026,2,UNLV,North Texas,-0.24,0.2,-0.48,0.35,0.52,0.19
401858445,2026,2,USC,Louisiana,0.34,0.68,0.18,0.31,0.76,0.25
401856670,2026,2,Utah,Arkansas,0.28,0.3,0.31,-0.04,-0.11,0.02
401858446,2026,2,Utah State,Washington,-0.22,-0.02,-0.33,0.03,0.07,-0.03
401864505,2026,2,UTEP,Texas Southern,0.24,0.79,-0.07,-0.01,0.16,0.01
401860884,2026,2,UTSA,Texas State,0.23,0.26,0.19,0.14,0.29,0.19
401856684,2026,2,Vanderbilt,Delaware,-0.08,0.17,-0.1,-0.18,-0.14,-0.02
401858220,2026,2,Virginia,Norfolk State,0.41,0.83,0.28,-0.41,-0.39,-0.33
401858221,2026,2,Virginia Tech,Old Dominion,0.21,0.39,0.01,0.03,0.16,-0.08
401858224,2026,2,Wake Forest,Purdue,0.36,0.5,0.2,0.29,0.41,0.12
401858446,2026,2,Washington,Utah State,0.03,0.07,-0.03,-0.22,-0.02,-0.33
401856781,2026,2,Washington State,Kansas State,-0.28,-0.27,-0.28,0.13,-0.09,0.35
401856673,2026,2,Western Kentucky,Georgia,-0.18,-0.26,-0.09,0.56,0.81,0.29
401866421,2026,2,Western Michigan,Monmouth,0.45,0.7,0.27,-0.11,0.01,-0.3
401856791,2026,2,West Virginia,UT Martin,0.45,1.46,0.22,-0.22,0.0,-0.23
401858447,2026,2,Wisconsin,Western Illinois,0.25,0.15,0.36,-0.06,0.05,0.04
401864506,2026,2,Wyoming,Northern Colorado,0.11,0.32,-0.03,-0.19,0.13,-0.17
401858451,2026,3,Akron,Minnesota,-0.12,-0.1,-0.12,0.22,0.17,0.24
401856685,2026,3,Alabama,Florida State,0.46,0.59,0.33,0.17,0.23,0.16
401864574,2026,3,App State,Charlotte,0.07,0.43,-0.3,-0.18,0.0,-0.26
401856793,2026,3,Arizona,Northern Illinois,0.42,0.45,0.31,0.04,0.18,0.06
401856812,2026,3,Arizona State,Kansas,-0.2,-0.18,-0.06,0.14,0.05,0.1
401856686,2026,3,Arkansas,Georgia,0.07,0.19,-0.23,0.38,0.46,0.39
