season,team,conference,fpi,resumeranks,efficiencies
2026,Northwestern,Big Ten,1.414,"{'strengthOfRecord': 0, 'fpi': 59, 'averageWinProbability': 0, 'strengthOfSchedule': 17, 'remainingStrengthOfSchedule': 18, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Indiana,Big Ten,23.14,"{'strengthOfRecord': 0, 'fpi': 7, 'averageWinProbability': 0, 'strengthOfSchedule': 37, 'remainingStrengthOfSchedule': 38, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Notre Dame,FBS Independents,25.856,"{'strengthOfRecord': 0, 'fpi': 3, 'averageWinProbability': 0, 'strengthOfSchedule': 55, 'remainingStrengthOfSchedule': 55, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Louisville,ACC,9.454,"{'strengthOfRecord': 0, 'fpi': 29, 'averageWinProbability': 0, 'strengthOfSchedule': 59, 'remainingStrengthOfSchedule': 60, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Western Kentucky,Conference USA,-4.859,"{'strengthOfRecord': 0, 'fpi': 86, 'averageWinProbability': 0, 'strengthOfSchedule': 67, 'remainingStrengthOfSchedule': 66, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,LSU,SEC,20.034,"{'strengthOfRecord': 0, 'fpi': 9, 'averageWinProbability': 0, 'strengthOfSchedule': 11, 'remainingStrengthOfSchedule': 12, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,East Carolina,American Athletic,-0.564,"{'strengthOfRecord': 0, 'fpi': 67, 'averageWinProbability': 0, 'strengthOfSchedule': 85, 'remainingStrengthOfSchedule': 83, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Nebraska,Big Ten,8.842,"{'strengthOfRecord': 0, 'fpi': 31, 'averageWinProbability': 0, 'strengthOfSchedule': 22, 'remainingStrengthOfSchedule': 23, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,New Mexico State,Conference USA,-13.999,"{'strengthOfRecord': 27, 'fpi': 125, 'averageWinProbability': 32, 'strengthOfSchedule': 116, 'remainingStrengthOfSchedule': 135, 'gameControl': 22}","{'overall': 46.201, 'offense': 56.655, 'defense': 48.275, 'specialTeams': 24.484}"
2026,Syracuse,ACC,-0.808,"{'strengthOfRecord': 0, 'fpi': 69, 'averageWinProbability': 0, 'strengthOfSchedule': 43, 'remainingStrengthOfSchedule': 44, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
